nom fichier gif;ratio surface goutte/puit;CA substrat (deg);CA mur gauche (deg);CA mur droit (deg);CA plateau gauche (deg);Viscosite eta0 (Pa.s);shift X (um)
lbm_001.gif;0,8006;35;15;35;15;0,5;0
lbm_002.gif;0,8006;35;15;35;15;0,5;-75
lbm_003.gif;0,8006;35;15;35;15;1,5;0
lbm_004.gif;0,8006;35;15;35;15;1,5;-75
lbm_005.gif;0,8006;35;15;90;15;0,5;0
lbm_006.gif;0,8006;35;15;90;15;0,5;-75
lbm_007.gif;0,8006;35;15;90;15;1,5;0
lbm_008.gif;0,8006;35;15;90;15;1,5;-75
lbm_009.gif;0,8006;60;15;35;15;0,5;0
lbm_010.gif;0,8006;60;15;35;15;0,5;-75
lbm_011.gif;0,8006;60;15;35;15;1,5;0
lbm_012.gif;0,8006;60;15;35;15;1,5;-75
lbm_013.gif;0,8006;60;15;90;15;0,5;0
lbm_014.gif;0,8006;60;15;90;15;0,5;-75
lbm_015.gif;0,8006;60;15;90;15;1,5;0
lbm_016.gif;0,8006;60;15;90;15;1,5;-75
lbm_017.gif;0,8006;35;35;35;15;0,5;0
lbm_018.gif;0,8006;35;35;35;15;0,5;-75
lbm_019.gif;0,8006;35;35;35;15;1,5;0
lbm_020.gif;0,8006;35;35;35;15;1,5;-75
lbm_021.gif;0,8006;35;35;90;15;0,5;0
lbm_022.gif;0,8006;35;35;90;15;0,5;-75
lbm_023.gif;0,8006;35;35;90;15;1,5;0
lbm_024.gif;0,8006;35;35;90;15;1,5;-75
lbm_025.gif;0,8006;60;35;35;15;0,5;0
lbm_026.gif;0,8006;60;35;35;15;0,5;-75
lbm_027.gif;0,8006;60;35;35;15;1,5;0
lbm_028.gif;0,8006;60;35;35;15;1,5;-75
lbm_029.gif;0,8006;60;35;90;15;0,5;0
lbm_030.gif;0,8006;60;35;90;15;0,5;-75
lbm_031.gif;0,8006;60;35;90;15;1,5;0
lbm_032.gif;0,8006;60;35;90;15;1,5;-75
lbm_033.gif;0,8006;35;90;35;15;0,5;0
lbm_034.gif;0,8006;35;90;35;15;0,5;-75
lbm_035.gif;0,8006;35;90;35;15;1,5;0
lbm_036.gif;0,8006;35;90;35;15;1,5;-75
lbm_037.gif;0,8006;35;90;90;15;0,5;0
lbm_038.gif;0,8006;35;90;90;15;0,5;-75
lbm_039.gif;0,8006;35;90;90;15;1,5;0
lbm_040.gif;0,8006;35;90;90;15;1,5;-75
lbm_041.gif;0,8006;60;90;35;15;0,5;0
lbm_042.gif;0,8006;60;90;35;15;0,5;-75
lbm_043.gif;0,8006;60;90;35;15;1,5;0
lbm_044.gif;0,8006;60;90;35;15;1,5;-75
lbm_045.gif;0,8006;60;90;90;15;0,5;0
lbm_046.gif;0,8006;60;90;90;15;0,5;-75
lbm_047.gif;0,8006;60;90;90;15;1,5;0
lbm_048.gif;0,8006;60;90;90;15;1,5;-75
lbm_049.gif;0,8006;35;15;35;35;0,5;0
lbm_050.gif;0,8006;35;15;35;35;0,5;-75
lbm_051.gif;0,8006;35;15;35;35;1,5;0
lbm_052.gif;0,8006;35;15;35;35;1,5;-75
lbm_053.gif;0,8006;35;15;90;35;0,5;0
lbm_054.gif;0,8006;35;15;90;35;0,5;-75
lbm_055.gif;0,8006;35;15;90;35;1,5;0
lbm_056.gif;0,8006;35;15;90;35;1,5;-75
lbm_057.gif;0,8006;60;15;35;35;0,5;0
lbm_058.gif;0,8006;60;15;35;35;0,5;-75
lbm_059.gif;0,8006;60;15;35;35;1,5;0
lbm_060.gif;0,8006;60;15;35;35;1,5;-75
lbm_061.gif;0,8006;60;15;90;35;0,5;0
lbm_062.gif;0,8006;60;15;90;35;0,5;-75
lbm_063.gif;0,8006;60;15;90;35;1,5;0
lbm_064.gif;0,8006;60;15;90;35;1,5;-75
lbm_065.gif;0,8006;35;35;35;35;0,5;0
lbm_066.gif;0,8006;35;35;35;35;0,5;-75
lbm_067.gif;0,8006;35;35;35;35;1,5;0
lbm_068.gif;0,8006;35;35;35;35;1,5;-75
lbm_069.gif;0,8006;35;35;90;35;0,5;0
lbm_070.gif;0,8006;35;35;90;35;0,5;-75
lbm_071.gif;0,8006;35;35;90;35;1,5;0
lbm_072.gif;0,8006;35;35;90;35;1,5;-75
lbm_073.gif;0,8006;60;35;35;35;0,5;0
lbm_074.gif;0,8006;60;35;35;35;0,5;-75
lbm_075.gif;0,8006;60;35;35;35;1,5;0
lbm_076.gif;0,8006;60;35;35;35;1,5;-75
lbm_077.gif;0,8006;60;35;90;35;0,5;0
lbm_078.gif;0,8006;60;35;90;35;0,5;-75
lbm_079.gif;0,8006;60;35;90;35;1,5;0
lbm_080.gif;0,8006;60;35;90;35;1,5;-75
lbm_081.gif;0,8006;35;90;35;35;0,5;0
lbm_082.gif;0,8006;35;90;35;35;0,5;-75
lbm_083.gif;0,8006;35;90;35;35;1,5;0
lbm_084.gif;0,8006;35;90;35;35;1,5;-75
lbm_085.gif;0,8006;35;90;90;35;0,5;0
lbm_086.gif;0,8006;35;90;90;35;0,5;-75
lbm_087.gif;0,8006;35;90;90;35;1,5;0
lbm_088.gif;0,8006;35;90;90;35;1,5;-75
lbm_089.gif;0,8006;60;90;35;35;0,5;0
lbm_090.gif;0,8006;60;90;35;35;0,5;-75
lbm_091.gif;0,8006;60;90;35;35;1,5;0
lbm_092.gif;0,8006;60;90;35;35;1,5;-75
lbm_093.gif;0,8006;60;90;90;35;0,5;0
lbm_094.gif;0,8006;60;90;90;35;0,5;-75
lbm_095.gif;0,8006;60;90;90;35;1,5;0
lbm_096.gif;0,8006;60;90;90;35;1,5;-75
lbm_097.gif;0,8006;35;15;35;90;0,5;0
lbm_098.gif;0,8006;35;15;35;90;0,5;-75
lbm_099.gif;0,8006;35;15;35;90;1,5;0
lbm_100.gif;0,8006;35;15;35;90;1,5;-75
lbm_101.gif;0,8006;35;15;90;90;0,5;0
lbm_102.gif;0,8006;35;15;90;90;0,5;-75
lbm_103.gif;0,8006;35;15;90;90;1,5;0
lbm_104.gif;0,8006;35;15;90;90;1,5;-75
lbm_105.gif;0,8006;60;15;35;90;0,5;0
lbm_106.gif;0,8006;60;15;35;90;0,5;-75
lbm_107.gif;0,8006;60;15;35;90;1,5;0
lbm_108.gif;0,8006;60;15;35;90;1,5;-75
lbm_109.gif;0,8006;60;15;90;90;0,5;0
lbm_110.gif;0,8006;60;15;90;90;0,5;-75
