nom fichier png;ratio surface goutte/puit;CA substrat (deg);CA mur gauche (deg);CA mur droit (deg);CA plateau gauche (deg);Viscosite eta0 (Pa.s);shift X (um)
lbm_001.png;0,8;35;15;35;15;0,5;0
lbm_002.png;0,8;35;15;35;15;0,5;-75
lbm_003.png;0,8;35;15;35;15;1,5;0
lbm_004.png;0,8;35;15;35;15;1,5;-75
lbm_005.png;0,8;35;15;90;15;0,5;0
lbm_006.png;0,8;35;15;90;15;0,5;-75
lbm_007.png;0,8;35;15;90;15;1,5;0
lbm_008.png;0,8;35;15;90;15;1,5;-75
lbm_009.png;0,8;60;15;35;15;0,5;0
lbm_010.png;0,8;60;15;35;15;0,5;-75
lbm_011.png;0,8;60;15;35;15;1,5;0
lbm_012.png;0,8;60;15;35;15;1,5;-75
lbm_013.png;0,8;60;15;90;15;0,5;0
lbm_014.png;0,8;60;15;90;15;0,5;-75
lbm_015.png;0,8;60;15;90;15;1,5;0
lbm_016.png;0,8;60;15;90;15;1,5;-75
lbm_017.png;0,8;35;35;35;15;0,5;0
lbm_018.png;0,8;35;35;35;15;0,5;-75
lbm_019.png;0,8;35;35;35;15;1,5;0
lbm_020.png;0,8;35;35;35;15;1,5;-75
lbm_021.png;0,8;35;35;90;15;0,5;0
lbm_022.png;0,8;35;35;90;15;0,5;-75
lbm_023.png;0,8;35;35;90;15;1,5;0
lbm_024.png;0,8;35;35;90;15;1,5;-75
lbm_025.png;0,8;60;35;35;15;0,5;0
lbm_026.png;0,8;60;35;35;15;0,5;-75
lbm_027.png;0,8;60;35;35;15;1,5;0
lbm_028.png;0,8;60;35;35;15;1,5;-75
lbm_029.png;0,8;60;35;90;15;0,5;0
lbm_030.png;0,8;60;35;90;15;0,5;-75
lbm_031.png;0,8;60;35;90;15;1,5;0
lbm_032.png;0,8;60;35;90;15;1,5;-75
lbm_033.png;0,8;35;90;35;15;0,5;0
lbm_034.png;0,8;35;90;35;15;0,5;-75
lbm_035.png;0,8;35;90;35;15;1,5;0
lbm_036.png;0,8;35;90;35;15;1,5;-75
lbm_037.png;0,8;35;90;90;15;0,5;0
lbm_038.png;0,8;35;90;90;15;0,5;-75
lbm_039.png;0,8;35;90;90;15;1,5;0
lbm_040.png;0,8;35;90;90;15;1,5;-75
lbm_041.png;0,8;60;90;35;15;0,5;0
lbm_042.png;0,8;60;90;35;15;0,5;-75
lbm_043.png;0,8;60;90;35;15;1,5;0
lbm_044.png;0,8;60;90;35;15;1,5;-75
lbm_045.png;0,8;60;90;90;15;0,5;0
lbm_046.png;0,8;60;90;90;15;0,5;-75
lbm_047.png;0,8;60;90;90;15;1,5;0
lbm_048.png;0,8;60;90;90;15;1,5;-75
lbm_049.png;0,8;35;15;35;35;0,5;0
lbm_050.png;0,8;35;15;35;35;0,5;-75
lbm_051.png;0,8;35;15;35;35;1,5;0
lbm_052.png;0,8;35;15;35;35;1,5;-75
lbm_053.png;0,8;35;15;90;35;0,5;0
lbm_054.png;0,8;35;15;90;35;0,5;-75
lbm_055.png;0,8;35;15;90;35;1,5;0
lbm_056.png;0,8;35;15;90;35;1,5;-75
lbm_057.png;0,8;60;15;35;35;0,5;0
lbm_058.png;0,8;60;15;35;35;0,5;-75
lbm_059.png;0,8;60;15;35;35;1,5;0
lbm_060.png;0,8;60;15;35;35;1,5;-75
lbm_061.png;0,8;60;15;90;35;0,5;0
lbm_062.png;0,8;60;15;90;35;0,5;-75
lbm_063.png;0,8;60;15;90;35;1,5;0
lbm_064.png;0,8;60;15;90;35;1,5;-75
lbm_065.png;0,8;35;35;35;35;0,5;0
lbm_066.png;0,8;35;35;35;35;0,5;-75
lbm_067.png;0,8;35;35;35;35;1,5;0
lbm_068.png;0,8;35;35;35;35;1,5;-75
lbm_069.png;0,8;35;35;90;35;0,5;0
lbm_070.png;0,8;35;35;90;35;0,5;-75
lbm_071.png;0,8;35;35;90;35;1,5;0
lbm_072.png;0,8;35;35;90;35;1,5;-75
lbm_073.png;0,8;60;35;35;35;0,5;0
lbm_074.png;0,8;60;35;35;35;0,5;-75
lbm_075.png;0,8;60;35;35;35;1,5;0
lbm_076.png;0,8;60;35;35;35;1,5;-75
lbm_077.png;0,8;60;35;90;35;0,5;0
lbm_078.png;0,8;60;35;90;35;0,5;-75
lbm_079.png;0,8;60;35;90;35;1,5;0
lbm_080.png;0,8;60;35;90;35;1,5;-75
lbm_081.png;0,8;35;90;35;35;0,5;0
lbm_082.png;0,8;35;90;35;35;0,5;-75
lbm_083.png;0,8;35;90;35;35;1,5;0
lbm_084.png;0,8;35;90;35;35;1,5;-75
lbm_085.png;0,8;35;90;90;35;0,5;0
lbm_086.png;0,8;35;90;90;35;0,5;-75
lbm_087.png;0,8;35;90;90;35;1,5;0
lbm_088.png;0,8;35;90;90;35;1,5;-75
lbm_089.png;0,8;60;90;35;35;0,5;0
lbm_090.png;0,8;60;90;35;35;0,5;-75
lbm_091.png;0,8;60;90;35;35;1,5;0
lbm_092.png;0,8;60;90;35;35;1,5;-75
lbm_093.png;0,8;60;90;90;35;0,5;0
lbm_094.png;0,8;60;90;90;35;0,5;-75
lbm_095.png;0,8;60;90;90;35;1,5;0
lbm_096.png;0,8;60;90;90;35;1,5;-75
lbm_097.png;0,8;35;15;35;90;0,5;0
lbm_098.png;0,8;35;15;35;90;0,5;-75
lbm_099.png;0,8;35;15;35;90;1,5;0
lbm_100.png;0,8;35;15;35;90;1,5;-75
lbm_101.png;0,8;35;15;90;90;0,5;0
lbm_102.png;0,8;35;15;90;90;0,5;-75
lbm_103.png;0,8;35;15;90;90;1,5;0
lbm_104.png;0,8;35;15;90;90;1,5;-75
lbm_105.png;0,8;60;15;35;90;0,5;0
lbm_106.png;0,8;60;15;35;90;0,5;-75
lbm_107.png;0,8;60;15;35;90;1,5;0
lbm_108.png;0,8;60;15;35;90;1,5;-75
lbm_109.png;0,8;60;15;90;90;0,5;0
lbm_110.png;0,8;60;15;90;90;0,5;-75
lbm_111.png;0,8;60;15;90;90;1,5;0
lbm_112.png;0,8;60;15;90;90;1,5;-75
lbm_113.png;0,8;35;35;35;90;0,5;0
lbm_114.png;0,8;35;35;35;90;0,5;-75
lbm_115.png;0,8;35;35;35;90;1,5;0
lbm_116.png;0,8;35;35;35;90;1,5;-75
lbm_117.png;0,8;35;35;90;90;0,5;0
lbm_118.png;0,8;35;35;90;90;0,5;-75
lbm_119.png;0,8;35;35;90;90;1,5;0
lbm_120.png;0,8;35;35;90;90;1,5;-75
lbm_121.png;0,8;60;35;35;90;0,5;0
lbm_122.png;0,8;60;35;35;90;0,5;-75
lbm_123.png;0,8;60;35;35;90;1,5;0
lbm_124.png;0,8;60;35;35;90;1,5;-75
lbm_125.png;0,8;60;35;90;90;0,5;0
lbm_126.png;0,8;60;35;90;90;0,5;-75
lbm_127.png;0,8;60;35;90;90;1,5;0
lbm_128.png;0,8;60;35;90;90;1,5;-75
lbm_129.png;0,8;35;90;35;90;0,5;0
lbm_130.png;0,8;35;90;35;90;0,5;-75
lbm_131.png;0,8;35;90;35;90;1,5;0
lbm_132.png;0,8;35;90;35;90;1,5;-75
lbm_133.png;0,8;35;90;90;90;0,5;0
lbm_134.png;0,8;35;90;90;90;0,5;-75
lbm_135.png;0,8;35;90;90;90;1,5;0
lbm_136.png;0,8;35;90;90;90;1,5;-75
lbm_137.png;0,8;60;90;35;90;0,5;0
lbm_138.png;0,8;60;90;35;90;0,5;-75
lbm_139.png;0,8;60;90;35;90;1,5;0
lbm_140.png;0,8;60;90;35;90;1,5;-75
lbm_141.png;0,8;60;90;90;90;0,5;0
lbm_142.png;0,8;60;90;90;90;0,5;-75
lbm_143.png;0,8;60;90;90;90;1,5;0
lbm_144.png;0,8;60;90;90;90;1,5;-75
lbm_145.png;1,0;35;15;35;15;0,5;0
lbm_146.png;1,0;35;15;35;15;0,5;-75
lbm_147.png;1,0;35;15;35;15;1,5;0
lbm_148.png;1,0;35;15;35;15;1,5;-75
lbm_149.png;1,0;35;15;90;15;0,5;0
lbm_150.png;1,0;35;15;90;15;0,5;-75
lbm_151.png;1,0;35;15;90;15;1,5;0
lbm_152.png;1,0;35;15;90;15;1,5;-75
lbm_153.png;1,0;60;15;35;15;0,5;0
lbm_154.png;1,0;60;15;35;15;0,5;-75
lbm_155.png;1,0;60;15;35;15;1,5;0
lbm_156.png;1,0;60;15;35;15;1,5;-75
lbm_157.png;1,0;60;15;90;15;0,5;0
lbm_158.png;1,0;60;15;90;15;0,5;-75
lbm_159.png;1,0;60;15;90;15;1,5;0
lbm_160.png;1,0;60;15;90;15;1,5;-75
lbm_161.png;1,0;35;35;35;15;0,5;0
lbm_162.png;1,0;35;35;35;15;0,5;-75
lbm_163.png;1,0;35;35;35;15;1,5;0
lbm_164.png;1,0;35;35;35;15;1,5;-75
lbm_165.png;1,0;35;35;90;15;0,5;0
lbm_166.png;1,0;35;35;90;15;0,5;-75
lbm_167.png;1,0;35;35;90;15;1,5;0
lbm_168.png;1,0;35;35;90;15;1,5;-75
lbm_169.png;1,0;60;35;35;15;0,5;0
lbm_170.png;1,0;60;35;35;15;0,5;-75
lbm_171.png;1,0;60;35;35;15;1,5;0
lbm_172.png;1,0;60;35;35;15;1,5;-75
lbm_173.png;1,0;60;35;90;15;0,5;0
lbm_174.png;1,0;60;35;90;15;0,5;-75
lbm_175.png;1,0;60;35;90;15;1,5;0
lbm_176.png;1,0;60;35;90;15;1,5;-75
lbm_177.png;1,0;35;90;35;15;0,5;0
lbm_178.png;1,0;35;90;35;15;0,5;-75
lbm_179.png;1,0;35;90;35;15;1,5;0
lbm_180.png;1,0;35;90;35;15;1,5;-75
lbm_181.png;1,0;35;90;90;15;0,5;0
lbm_182.png;1,0;35;90;90;15;0,5;-75
lbm_183.png;1,0;35;90;90;15;1,5;0
lbm_184.png;1,0;35;90;90;15;1,5;-75
lbm_185.png;1,0;60;90;35;15;0,5;0
lbm_186.png;1,0;60;90;35;15;0,5;-75
lbm_187.png;1,0;60;90;35;15;1,5;0
lbm_188.png;1,0;60;90;35;15;1,5;-75
lbm_189.png;1,0;60;90;90;15;0,5;0
lbm_190.png;1,0;60;90;90;15;0,5;-75
lbm_191.png;1,0;60;90;90;15;1,5;0
lbm_192.png;1,0;60;90;90;15;1,5;-75
lbm_193.png;1,0;35;15;35;35;0,5;0
lbm_194.png;1,0;35;15;35;35;0,5;-75
lbm_195.png;1,0;35;15;35;35;1,5;0
lbm_196.png;1,0;35;15;35;35;1,5;-75
lbm_197.png;1,0;35;15;90;35;0,5;0
lbm_198.png;1,0;35;15;90;35;0,5;-75
lbm_199.png;1,0;35;15;90;35;1,5;0
lbm_200.png;1,0;35;15;90;35;1,5;-75
lbm_201.png;1,0;60;15;35;35;0,5;0
lbm_202.png;1,0;60;15;35;35;0,5;-75
lbm_203.png;1,0;60;15;35;35;1,5;0
lbm_204.png;1,0;60;15;35;35;1,5;-75
lbm_205.png;1,0;60;15;90;35;0,5;0
lbm_206.png;1,0;60;15;90;35;0,5;-75
lbm_207.png;1,0;60;15;90;35;1,5;0
lbm_208.png;1,0;60;15;90;35;1,5;-75
lbm_209.png;1,0;35;35;35;35;0,5;0
lbm_210.png;1,0;35;35;35;35;0,5;-75
lbm_211.png;1,0;35;35;35;35;1,5;0
lbm_212.png;1,0;35;35;35;35;1,5;-75
lbm_213.png;1,0;35;35;90;35;0,5;0
lbm_214.png;1,0;35;35;90;35;0,5;-75
lbm_215.png;1,0;35;35;90;35;1,5;0
lbm_216.png;1,0;35;35;90;35;1,5;-75
lbm_217.png;1,0;60;35;35;35;0,5;0
lbm_218.png;1,0;60;35;35;35;0,5;-75
lbm_219.png;1,0;60;35;35;35;1,5;0
lbm_220.png;1,0;60;35;35;35;1,5;-75
lbm_221.png;1,0;60;35;90;35;0,5;0
