run_id;gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier gif
1;30;0;0.5;0.8;35;120;15;run_001_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface0.8.gif
2;30;0;0.5;1.2;35;120;15;run_002_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface1.2.gif
3;30;0;1.5;0.8;35;120;15;run_003_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface0.8.gif
4;30;0;1.5;1.2;35;120;15;run_004_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface1.2.gif
5;30;0;5.0;0.8;35;120;15;run_005_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface0.8.gif
6;30;0;5.0;1.2;35;120;15;run_006_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface1.2.gif
7;30;-75;0.5;0.8;35;120;15;run_007_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface0.8.gif
8;30;-75;0.5;1.2;35;120;15;run_008_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface1.2.gif
9;30;-75;1.5;0.8;35;120;15;run_009_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface0.8.gif
10;30;-75;1.5;1.2;35;120;15;run_010_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface1.2.gif
11;30;-75;5.0;0.8;35;120;15;run_011_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface0.8.gif
12;30;-75;5.0;1.2;35;120;15;run_012_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface1.2.gif
13;30;-150;0.5;0.8;35;120;15;run_013_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface0.8.gif
14;30;-150;0.5;1.2;35;120;15;run_014_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface1.2.gif
15;30;-150;1.5;0.8;35;120;15;run_015_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface0.8.gif
16;30;-150;1.5;1.2;35;120;15;run_016_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface1.2.gif
17;30;-150;5.0;0.8;35;120;15;run_017_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface0.8.gif
18;30;-150;5.0;1.2;35;120;15;run_018_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface1.2.gif
19;120;0;0.5;0.8;35;120;15;run_019_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface0.8.gif
20;120;0;0.5;1.2;35;120;15;run_020_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface1.2.gif
21;120;0;1.5;0.8;35;120;15;run_021_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface0.8.gif
22;120;0;1.5;1.2;35;120;15;run_022_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface1.2.gif
23;120;0;5.0;0.8;35;120;15;run_023_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface0.8.gif
24;120;0;5.0;1.2;35;120;15;run_024_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface1.2.gif
25;120;-75;0.5;0.8;35;120;15;run_025_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface0.8.gif
26;120;-75;0.5;1.2;35;120;15;run_026_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface1.2.gif
27;120;-75;1.5;0.8;35;120;15;run_027_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface0.8.gif
28;120;-75;1.5;1.2;35;120;15;run_028_y_gap_buse0.12_x_gap_buse-0.075_eta01.5_ratio_surface1.2.gif
29;120;-75;5.0;0.8;35;120;15;run_029_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface0.8.gif
30;120;-75;5.0;1.2;35;120;15;run_030_y_gap_buse0.12_x_gap_buse-0.075_eta05_ratio_surface1.2.gif
31;120;-150;0.5;0.8;35;120;15;run_031_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface0.8.gif
32;120;-150;0.5;1.2;35;120;15;run_032_y_gap_buse0.12_x_gap_buse-0.15_eta00.5_ratio_surface1.2.gif
33;120;-150;1.5;0.8;35;120;15;run_033_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface0.8.gif
34;120;-150;1.5;1.2;35;120;15;run_034_y_gap_buse0.12_x_gap_buse-0.15_eta01.5_ratio_surface1.2.gif
35;120;-150;5.0;0.8;35;120;15;run_035_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface0.8.gif
36;120;-150;5.0;1.2;35;120;15;run_036_y_gap_buse0.12_x_gap_buse-0.15_eta05_ratio_surface1.2.gif
37;30;0;0.5;0.8;15;120;15;run_037_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface0.8.gif
38;30;0;0.5;1.2;15;120;15;run_038_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface1.2.gif
39;30;0;1.5;0.8;15;120;15;run_039_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface0.8.gif
