gap buse (µm);shift buse (µm);Viscosite eta0 (Pa.s);ratio surface goutte/puit;run_id;CA substrat (deg);CA mur droit (deg);CA mur gauche (deg);nom fichier png
30;0;0.5;0.8;1;35;120;15;run_001_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface0.8.png
30;0;0.5;1.2;2;35;120;15;run_002_y_gap_buse0.03_x_gap_buse0_eta00.5_ratio_surface1.2.png
30;0;1.5;0.8;3;35;120;15;run_003_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface0.8.png
30;0;1.5;1.2;4;35;120;15;run_004_y_gap_buse0.03_x_gap_buse0_eta01.5_ratio_surface1.2.png
30;0;5.0;0.8;5;35;120;15;run_005_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface0.8.png
30;0;5.0;1.2;6;35;120;15;run_006_y_gap_buse0.03_x_gap_buse0_eta05_ratio_surface1.2.png
30;-75;0.5;0.8;7;35;120;15;run_007_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface0.8.png
30;-75;0.5;1.2;8;35;120;15;run_008_y_gap_buse0.03_x_gap_buse-0.075_eta00.5_ratio_surface1.2.png
30;-75;1.5;0.8;9;35;120;15;run_009_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface0.8.png
30;-75;1.5;1.2;10;35;120;15;run_010_y_gap_buse0.03_x_gap_buse-0.075_eta01.5_ratio_surface1.2.png
30;-75;5.0;0.8;11;35;120;15;run_011_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface0.8.png
30;-75;5.0;1.2;12;35;120;15;run_012_y_gap_buse0.03_x_gap_buse-0.075_eta05_ratio_surface1.2.png
30;-150;0.5;0.8;13;35;120;15;run_013_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface0.8.png
30;-150;0.5;1.2;14;35;120;15;run_014_y_gap_buse0.03_x_gap_buse-0.15_eta00.5_ratio_surface1.2.png
30;-150;1.5;0.8;15;35;120;15;run_015_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface0.8.png
30;-150;1.5;1.2;16;35;120;15;run_016_y_gap_buse0.03_x_gap_buse-0.15_eta01.5_ratio_surface1.2.png
30;-150;5.0;0.8;17;35;120;15;run_017_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface0.8.png
30;-150;5.0;1.2;18;35;120;15;run_018_y_gap_buse0.03_x_gap_buse-0.15_eta05_ratio_surface1.2.png
120;0;0.5;0.8;19;35;120;15;run_019_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface0.8.png
120;0;0.5;1.2;20;35;120;15;run_020_y_gap_buse0.12_x_gap_buse0_eta00.5_ratio_surface1.2.png
120;0;1.5;0.8;21;35;120;15;run_021_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface0.8.png
120;0;1.5;1.2;22;35;120;15;run_022_y_gap_buse0.12_x_gap_buse0_eta01.5_ratio_surface1.2.png
120;0;5.0;0.8;23;35;120;15;run_023_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface0.8.png
120;0;5.0;1.2;24;35;120;15;run_024_y_gap_buse0.12_x_gap_buse0_eta05_ratio_surface1.2.png
120;-75;0.5;0.8;25;35;120;15;run_025_y_gap_buse0.12_x_gap_buse-0.075_eta00.5_ratio_surface0.8.png
